time	pCa	hs_length	force	passive_force	a_fil_length	m_fil_length	a_pop_0	a_pop_1	m_pop_0	m_pop_1	m_pop_2	c_pop_0	c_pop_1
0.001	5.800	1150	686.977	686.977	1015.88	809.001	0.951075	0.0489255	0.991389	0.00861149	0	1	0
0.002	5.800	1150	686.977	686.977	1015.88	809.001	0.890832	0.109168	0.982434	0.0175659	0	1	0
0.003	5.800	1150	701.045	686.977	1015.88	809.001	0.825789	0.174211	0.971879	0.0280826	3.81039e-05	1	0
0.004	5.800	1150	711.835	686.977	1015.88	809.001	0.766575	0.233425	0.962087	0.0378372	7.62079e-05	1	0
0.005	5.800	1150	711.835	686.977	1015.88	809.001	0.70759	0.29241	0.951989	0.0479348	7.62079e-05	1	0
0.006	5.800	1150	767.332	686.975	1015.88	809.001	0.658779	0.341221	0.942539	0.057194	0.000266728	1	0
0.007	5.800	1150	787.376	686.975	1015.88	809.001	0.605738	0.394262	0.933204	0.0664914	0.000304832	1	0
0.008	5.800	1150	838.637	686.973	1015.88	809.001	0.555784	0.444216	0.924707	0.074798	0.000495351	1	0
0.009	5.800	1150	884.5	686.972	1015.88	809.001	0.508802	0.491198	0.916629	0.0827237	0.000647767	1	0
0.01	5.800	1150	976.01	686.97	1015.88	809.002	0.477938	0.522062	0.908246	0.0908017	0.000952599	1	0
0.011	5.800	1150	1042.27	686.968	1015.88	809.002	0.451075	0.548925	0.900282	0.0985368	0.00118122	1	0
0.012	5.800	1150	1181.15	686.964	1015.88	809.002	0.42444	0.57556	0.892166	0.106158	0.00167657	1	0
0.013	5.800	1150	1396.47	686.958	1015.88	809.002	0.399063	0.600937	0.88405	0.113474	0.00247676	1	0
0.014	5.800	1150	1547.8	686.954	1015.88	809.002	0.379858	0.620142	0.876086	0.120942	0.00297211	1	0
0.015	5.800	1150	1685.17	686.951	1015.88	809.002	0.355053	0.644947	0.868656	0.127839	0.00350556	1	0
0.016	5.800	1150	1875.41	686.946	1015.88	809.003	0.342707	0.657293	0.860654	0.135193	0.00415333	1	0
0.017	5.800	1150	1926.82	686.945	1015.88	809.003	0.335277	0.664723	0.852766	0.142814	0.00442006	1	0
0.018	5.800	1150	2072.89	686.941	1015.88	809.003	0.323731	0.676269	0.844879	0.15013	0.00499162	1	0
0.019	5.800	1150	2283.1	686.936	1015.88	809.003	0.313557	0.686443	0.836572	0.157712	0.00571559	1	0
0.02	5.800	1150	2510.19	686.93	1015.88	809.003	0.300983	0.699017	0.828685	0.164838	0.00647767	1	0
0.021	5.800	1150	2600.28	686.927	1015.88	809.004	0.286808	0.713192	0.820569	0.172649	0.0067825	1	0
0.022	5.800	1150	2736.43	686.924	1015.88	809.004	0.281893	0.718107	0.813977	0.178708	0.00731596	1	0
0.023	5.800	1150	3001.37	686.918	1015.88	809.004	0.270348	0.729652	0.807689	0.18408	0.00823045	1	0
0.024	5.800	1150	3220.69	686.912	1015.88	809.004	0.270348	0.729652	0.801174	0.18991	0.00891632	1	0
0.025	5.800	1150	3432.01	686.907	1015.88	809.004	0.263489	0.736511	0.79401	0.196273	0.00971651	1	0
0.026	5.800	1150	3667.1	686.9	1015.88	809.005	0.268861	0.731139	0.786808	0.202675	0.0105167	1	0
0.027	5.800	1150	3884.56	686.895	1015.88	809.005	0.263603	0.736397	0.780597	0.208086	0.0113169	1	0
0.028	5.800	1150	4156.04	686.888	1015.88	809.005	0.254344	0.745656	0.773815	0.213916	0.0122695	1	0
0.029	5.800	1150	4292.08	686.885	1015.88	809.005	0.254915	0.745085	0.76768	0.219517	0.0128029	1	0
0.03	5.800	1150	4580.88	686.878	1015.89	809.006	0.25	0.75	0.762346	0.223823	0.0138317	1	0
0.031	5.800	1150	4911.53	686.87	1015.89	809.006	0.242227	0.757773	0.755144	0.229881	0.0149749	1	0
0.032	5.800	1150	5171.68	686.863	1015.89	809.006	0.234454	0.765546	0.748323	0.235863	0.0158131	1	0
0.033	5.800	1150	5515.01	686.854	1015.89	809.007	0.231596	0.768404	0.742227	0.240703	0.0170706	1	0
0.034	5.800	1150	5894.15	686.843	1015.89	809.007	0.225537	0.774463	0.735482	0.24619	0.018328	1	0
0.035	5.800	1150	6117.79	686.838	1015.89	809.008	0.22588	0.77412	0.729576	0.251296	0.0191282	1	0
0.036	5.800	1150	6435.76	686.83	1015.89	809.008	0.225309	0.774691	0.72348	0.256287	0.0202332	1	0
0.037	5.800	1150	6829.99	686.82	1015.89	809.009	0.223594	0.776406	0.717726	0.260669	0.0216049	1	0
0.038	5.800	1150	7234.42	686.809	1015.89	809.009	0.221422	0.778578	0.711172	0.266004	0.0228243	1	0
0.039	5.800	1150	7475.38	686.803	1015.89	809.009	0.22085	0.77915	0.706219	0.270119	0.0236626	1	0
0.04	5.800	1150	7842.08	686.794	1015.89	809.01	0.223251	0.776749	0.700312	0.274729	0.0249581	1	0
0.041	5.800	1150	8206.09	686.785	1015.89	809.01	0.215135	0.784865	0.695054	0.278768	0.0261774	1	0
0.042	5.800	1150	8406.83	686.78	1015.89	809.01	0.217307	0.782693	0.688957	0.284217	0.0268252	1	0
0.043	5.800	1150	8735.07	686.772	1015.9	809.011	0.21685	0.78315	0.684233	0.287761	0.0280064	1	0
0.044	5.800	1150	8985.9	686.766	1015.9	809.011	0.215364	0.784636	0.680194	0.290924	0.0288828	1	0
0.045	5.800	1150	9191.54	686.761	1015.9	809.011	0.215021	0.784979	0.676002	0.294391	0.0296068	1	0
0.046	5.800	1150	9536.85	686.752	1015.9	809.012	0.212048	0.787952	0.670134	0.299116	0.0307499	1	0
0.047	5.800	1150	9984.66	686.741	1015.9	809.012	0.206333	0.793667	0.665181	0.302583	0.0322359	1	0
0.048	5.800	1150	10399.8	686.731	1015.9	809.013	0.198674	0.801326	0.660303	0.305975	0.033722	1	0
