time	pCa	hs_length	force	titin_force	extracellular_force	a_fil_length	m_fil_length	a_pop_0	a_pop_1	m_pop_0	m_pop_1	m_pop_2	c_pop_0	c_pop_1
0.046	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.905129	0.0948712	0	1	0
0.047	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.904659	0.0953414	0	1	0
0.048	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.904839	0.0951606	0	1	0
0.049	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.904972	0.095028	0	1	0
0.05	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.905105	0.0948954	0	1	0
0.051	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.905225	0.0947748	0	1	0
0.052	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.905563	0.0944372	0	1	0
0.053	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.90531	0.0946904	0	1	0
0.054	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999928	7.2338e-05	0.905804	0.0941961	0	1	0
0.055	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.905117	0.0948833	0	1	0
0.056	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.905093	0.0949074	0	1	0
0.057	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999891	0.000108507	0.904695	0.0953053	0	1	0
0.058	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999928	7.2338e-05	0.904249	0.0957514	0	1	0
0.059	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.904598	0.0954017	0	1	0
0.06	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.905225	0.0947748	0	1	0
0.061	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999928	7.2338e-05	0.90584	0.0941599	0	1	0
0.062	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.906346	0.0936535	0	1	0
0.063	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999928	7.2338e-05	0.906033	0.093967	0	1	0
0.064	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.905732	0.0942684	0	1	0
0.065	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.905406	0.0945939	0	1	0
0.066	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.905322	0.0946783	0	1	0
0.067	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999891	0.000108507	0.905478	0.0945216	0	1	0
0.068	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999928	7.2338e-05	0.905237	0.0947627	0	1	0
0.069	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.904442	0.0955584	0	1	0
0.07	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.904924	0.0950762	0	1	0
0.071	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999891	0.000108507	0.904815	0.0951847	0	1	0
0.072	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.903791	0.0962095	0	1	0
0.073	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.903646	0.0963542	0	1	0
0.074	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.903718	0.0962818	0	1	0
0.075	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.903706	0.0962939	0	1	0
0.076	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.903839	0.0961613	0	1	0
0.077	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999928	7.2338e-05	0.903537	0.0964627	0	1	0
0.078	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.904634	0.0953655	0	1	0
0.079	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.904888	0.0951124	0	1	0
0.08	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.904634	0.0953655	0	1	0
0.081	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.904695	0.0953053	0	1	0
0.082	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.904357	0.0956428	0	1	0
0.083	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.904851	0.0951485	0	1	0
0.084	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.904116	0.095884	0	1	0
0.085	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.904092	0.0959081	0	1	0
0.086	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.903224	0.0967761	0	1	0
0.087	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.902947	0.0970534	0	1	0
0.088	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.902862	0.0971378	0	1	0
0.089	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.904502	0.0954982	0	1	0
0.09	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.904514	0.0954861	0	1	0
0.091	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.904417	0.0955826	0	1	0
0.092	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.904538	0.095462	0	1	0
0.093	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.903694	0.0963059	0	1	0
0.094	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999891	0.000108507	0.903465	0.096535	0	1	0
0.095	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.90361	0.0963903	0	1	0
0.096	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.903586	0.0964144	0	1	0
0.097	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.903911	0.0960889	0	1	0
0.098	9.000	950	1854.03	1854.03	0	1015.88	809.005	1	0	0.904634	0.0953655	0	1	0
0.099	9.000	950	1854.03	1854.03	0	1015.88	809.005	0.999964	3.6169e-05	0.905141	0.0948592	0	1	0
0.1	4.500	950	2173.92	1854	0	1015.88	809.005	0.527488	0.472512	0.90549	0.0936174	0.000892168	1	0
0.101	4.500	950	2718.57	1853.94	0	1015.88	809.006	0.339265	0.660735	0.905527	0.0920501	0.00242332	1	0
0.102	4.500	950	3168.96	1853.88	0	1015.88	809.006	0.315466	0.684534	0.904707	0.0916884	0.00360484	1	0
0.103	4.500	950	3659.52	1853.83	0	1015.88	809.007	0.305447	0.694553	0.905225	0.0898317	0.00494309	1	0
0.104	4.500	950	4155.43	1853.77	0	1015.88	809.007	0.297888	0.702112	0.904671	0.0889757	0.00635368	1	0
0.105	4.500	950	4534.69	1853.73	0	1015.88	809.008	0.296332	0.703668	0.903706	0.0889154	0.00737847	1	0
0.106	4.500	950	4843.2	1853.69	0	1015.88	809.008	0.293367	0.706633	0.903019	0.0887587	0.00822242	1	0
0.107	4.500	950	5236.4	1853.64	0	1015.88	809.009	0.296369	0.703631	0.902862	0.0878665	0.00927132	1	0
0.108	4.500	950	5580.16	1853.6	0	1015.88	809.009	0.289135	0.710865	0.901777	0.0879871	0.0102358	1	0
0.109	4.500	950	5939.67	1853.56	0	1015.88	809.01	0.286712	0.713288	0.901717	0.0870829	0.0112003	1	0
0.11	4.500	950	6260.14	1853.53	0	1015.89	809.01	0.289062	0.710938	0.901114	0.0867935	0.0120925	1	0
0.111	4.500	950	6641	1853.49	0	1015.89	809.011	0.286205	0.713795	0.899498	0.0873722	0.0131293	1	0
0.112	4.500	950	6957.33	1853.45	0	1015.89	809.011	0.27861	0.72139	0.898582	0.0873843	0.0140336	1	0
0.113	4.500	950	7219.07	1853.42	0	1015.89	809.011	0.279803	0.720197	0.898908	0.0862992	0.0147931	1	0
0.114	4.500	950	7333.72	1853.41	0	1015.89	809.011	0.276982	0.723018	0.898618	0.0863112	0.0150704	1	0
0.115	4.500	950	7480.07	1853.39	0	1015.89	809.012	0.279586	0.720414	0.897606	0.0869502	0.0154442	1	0
0.116	4.500	950	7736.76	1853.36	0	1015.89	809.012	0.278248	0.721752	0.89687	0.0869141	0.0162158	1	0
0.117	4.500	950	7849.71	1853.35	0	1015.89	809.012	0.275716	0.724284	0.896738	0.0866609	0.0166016	1	0
0.118	4.500	950	7962.16	1853.33	0	1015.89	809.012	0.275788	0.724212	0.896846	0.0861304	0.0170235	1	0
0.119	4.500	950	8168.49	1853.31	0	1015.89	809.013	0.273908	0.726092	0.896533	0.0858893	0.0175781	1	0
0.12	4.500	950	8395.33	1853.28	0	1015.89	809.013	0.272497	0.727503	0.895713	0.0860822	0.0182051	1	0
0.121	4.500	950	8499.16	1853.27	0	1015.89	809.013	0.272172	0.727828	0.895086	0.0863836	0.0185306	1	0
0.122	4.500	950	8579.12	1853.26	0	1015.89	809.013	0.27492	0.72508	0.894507	0.0867453	0.0187476	1	0
0.123	4.500	950	8727.5	1853.24	0	1015.89	809.013	0.27662	0.72338	0.893856	0.0870587	0.0190852	1	0
0.124	4.500	950	8756.86	1853.24	0	1015.89	809.013	0.274667	0.725333	0.893663	0.0871311	0.0192057	1	0
0.125	4.500	950	8967.04	1853.21	0	1015.89	809.014	0.27398	0.72602	0.89265	0.087553	0.0197965	1	0
0.126	4.500	950	9108.45	1853.2	0	1015.89	809.014	0.273763	0.726237	0.892048	0.087758	0.0201943	1	0
0.127	4.500	950	9183.23	1853.19	0	1015.89	809.014	0.272931	0.727069	0.892132	0.087541	0.020327	1	0
0.128	4.500	950	9341.9	1853.17	0	1015.89	809.014	0.273691	0.726309	0.891758	0.0875048	0.0207369	1	0
0.129	4.500	950	9429.92	1853.16	0	1015.89	809.014	0.272135	0.727865	0.890866	0.0881197	0.0210142	1	0
0.13	4.500	950	9577.92	1853.14	0	1015.89	809.014	0.271701	0.728299	0.890107	0.0884934	0.0214	1	0
0.131	4.500	950	9729.22	1853.12	0	1015.89	809.015	0.268591	0.731409	0.889648	0.0885658	0.0217858	1	0
0.132	4.500	950	9762.11	1853.12	0	1015.89	809.015	0.269097	0.730903	0.889034	0.0890963	0.0218702	1	0
0.133	4.500	950	9845.94	1853.11	0	1015.89	809.015	0.266565	0.733435	0.888624	0.0891927	0.0221836	1	0
0.134	4.500	950	9945.49	1853.1	0	1015.89	809.015	0.267253	0.732747	0.888202	0.0893736	0.0224248	1	0
0.135	4.500	950	10087.1	1853.08	0	1015.89	809.015	0.26501	0.73499	0.887997	0.0892048	0.0227985	1	0
0.136	4.500	950	10154.8	1853.07	0	1015.89	809.015	0.266276	0.733724	0.887864	0.0891927	0.0229432	1	0
0.137	4.500	950	10255.6	1853.06	0	1015.89	809.015	0.266059	0.733941	0.887551	0.0892409	0.0232084	1	0
0.138	4.500	950	10285.4	1853.05	0	1015.89	809.015	0.262514	0.737486	0.888081	0.088614	0.0233049	1	0
0.139	4.500	950	10304.5	1853.05	0	1015.89	809.015	0.268374	0.731626	0.887322	0.0893374	0.023341	1	0
0.14	4.500	950	10251	1853.06	0	1015.89	809.015	0.265155	0.734845	0.887358	0.0894459	0.0231964	1	0
0.141	4.500	950	10272.1	1853.05	0	1015.89	809.016	0.265299	0.734701	0.886695	0.0900849	0.0232205	1	0
0.142	4.500	950	10305.6	1853.04	0	1015.89	809.016	0.26718	0.73282	0.887153	0.0895182	0.023329	1	0
0.143	4.500	950	10528.7	1853.02	0	1015.89	809.016	0.264106	0.735894	0.886441	0.0895544	0.0240041	1	0
0.144	4.500	950	10532.5	1853.02	0	1015.89	809.016	0.266059	0.733941	0.885742	0.0902175	0.0240403	1	0
0.145	4.500	950	10704.3	1853	0	1015.89	809.016	0.264287	0.735713	0.885393	0.0900608	0.0245467	1	0
0.146	4.500	950	10685.7	1853	0	1015.89	809.016	0.261502	0.738498	0.885863	0.089675	0.0244623	1	0
0.147	4.500	950	10756.8	1853	0	1015.89	809.016	0.262153	0.737847	0.885634	0.0895785	0.0247878	1	0
0.148	4.500	950	10810.1	1852.99	0	1015.89	809.016	0.260742	0.739258	0.885959	0.0889757	0.0250651	1	0
0.149	4.500	950	10899.8	1852.99	0	1015.89	809.016	0.260272	0.739728	0.885634	0.0890842	0.0252821	1	0
0.15	4.500	950	10987.3	1852.97	0	1015.89	809.016	0.259693	0.740307	0.886068	0.088409	0.0255232	1	0
0.151	4.500	950	11090.3	1852.96	0	1015.89	809.016	0.260561	0.739439	0.885863	0.0883126	0.0258247	1	0
