dt	pCa	dhsl	mode
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002   5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
0.002	5.4	0.0	-2.0
