time	pCa	hs_length	force	passive_force	a_fil_length	m_fil_length	a_pop_0	a_pop_1	m_pop_0	m_pop_1	m_pop_2	c_pop_0	c_pop_1
0.001	4.500	1150	686.977	686.977	1015.88	809.001	0.384545	0.615455	0.991389	0.00861149	0	1	0
0.002	4.500	1150	699.696	686.977	1015.88	809.001	0.220393	0.779607	0.982434	0.0175278	3.81039e-05	1	0
0.003	4.500	1150	775.996	686.975	1015.88	809.001	0.188957	0.811043	0.971879	0.0278159	0.000304832	1	0
0.004	4.500	1150	818.588	686.974	1015.88	809.001	0.16198	0.83802	0.962125	0.0374181	0.000457247	1	0
0.005	4.500	1150	912.631	686.971	1015.88	809.002	0.144719	0.855281	0.952141	0.0470584	0.000800183	1	0
0.006	4.500	1150	970.054	686.97	1015.88	809.002	0.136488	0.863512	0.942958	0.0560509	0.000990703	1	0
0.007	4.500	1150	1035.96	686.968	1015.88	809.002	0.124143	0.875857	0.933204	0.0655769	0.00121933	1	0
0.008	4.500	1150	1171.79	686.965	1015.88	809.002	0.122085	0.877915	0.923906	0.0743789	0.00171468	1	0
0.009	4.500	1150	1291.78	686.962	1015.88	809.002	0.11957	0.88043	0.915943	0.0818854	0.00217193	1	0
0.01	4.500	1150	1470.35	686.958	1015.88	809.002	0.114655	0.885345	0.90695	0.0902683	0.00278159	1	0
0.011	4.500	1150	1550.68	686.955	1015.88	809.002	0.118313	0.881687	0.89891	0.0980415	0.00304832	1	0
0.012	4.500	1150	1714.76	686.952	1015.88	809.002	0.116255	0.883745	0.890489	0.105929	0.00358177	1	0
0.013	4.500	1150	1906.32	686.947	1015.88	809.003	0.114883	0.885117	0.883059	0.112711	0.00422954	1	0
0.014	4.500	1150	1997.75	686.944	1015.88	809.003	0.117856	0.882144	0.874676	0.120713	0.00461058	1	0
0.015	4.500	1150	2191.66	686.939	1015.88	809.003	0.115684	0.884316	0.866484	0.12822	0.00529645	1	0
0.016	4.500	1150	2421.83	686.934	1015.88	809.003	0.111568	0.888432	0.858444	0.135498	0.00605853	1	0
0.017	4.500	1150	2579.62	686.93	1015.88	809.003	0.114312	0.885688	0.850975	0.142433	0.00659198	1	0
