time	pCa	hs_length	force	passive_force	a_fil_length	m_fil_length	a_pop_0	a_pop_1	m_pop_0	m_pop_1	m_pop_2	c_pop_0	c_pop_1
0.001	7.000	1150	686.977	686.977	1015.88	809.001	0.996685	0.00331504	0.991389	0.00861149	0	1	0
0.002	7.000	1150	686.977	686.977	1015.88	809.001	0.995313	0.00468679	0.982434	0.0175659	0	1	0
0.003	7.000	1150	686.977	686.977	1015.88	809.001	0.994627	0.00537266	0.971879	0.0281207	0	1	0
0.004	7.000	1150	686.977	686.977	1015.88	809.001	0.995999	0.00400091	0.96201	0.0379896	0	1	0
0.005	7.000	1150	686.977	686.977	1015.88	809.001	0.994056	0.00594422	0.952408	0.0475918	0	1	0
0.006	7.000	1150	686.977	686.977	1015.88	809.001	0.994627	0.00537266	0.942996	0.0570035	0	1	0
0.007	7.000	1150	686.977	686.977	1015.88	809.001	0.994284	0.00571559	0.933242	0.0667581	0	1	0
0.008	7.000	1150	686.977	686.977	1015.88	809.001	0.99417	0.0058299	0.924097	0.0759031	0	1	0
0.009	7.000	1150	686.977	686.977	1015.88	809.001	0.993827	0.00617284	0.915943	0.0840573	0	1	0
0.01	7.000	1150	686.977	686.977	1015.88	809.001	0.994742	0.00525834	0.907103	0.0928974	0	1	0
0.011	7.000	1150	696.805	686.977	1015.88	809.001	0.99497	0.00502972	0.899139	0.100823	3.81039e-05	1	0
0.012	7.000	1150	696.805	686.977	1015.88	809.001	0.994856	0.00514403	0.890604	0.109358	3.81039e-05	1	0
0.013	7.000	1150	696.805	686.977	1015.88	809.001	0.995656	0.00434385	0.883021	0.116941	3.81039e-05	1	0
0.014	7.000	1150	696.805	686.977	1015.88	809.001	0.994856	0.00514403	0.875133	0.124829	3.81039e-05	1	0
0.015	7.000	1150	696.805	686.977	1015.88	809.001	0.99497	0.00502972	0.867627	0.132335	3.81039e-05	1	0
0.016	7.000	1150	696.805	686.977	1015.88	809.001	0.995885	0.00411523	0.859435	0.140527	3.81039e-05	1	0
0.017	7.000	1150	696.805	686.977	1015.88	809.001	0.995313	0.00468679	0.852652	0.14731	3.81039e-05	1	0
0.018	7.000	1150	696.805	686.977	1015.88	809.001	0.994856	0.00514403	0.845679	0.154283	3.81039e-05	1	0
0.019	7.000	1150	696.805	686.977	1015.88	809.001	0.99497	0.00502972	0.838439	0.161523	3.81039e-05	1	0
0.02	7.000	1150	696.805	686.977	1015.88	809.001	0.994056	0.00594422	0.831771	0.168191	3.81039e-05	1	0
0.021	7.000	1150	707.403	686.977	1015.88	809.001	0.995542	0.00445816	0.824455	0.175469	7.62079e-05	1	0
0.022	7.000	1150	707.403	686.977	1015.88	809.001	0.993484	0.00651578	0.817939	0.181984	7.62079e-05	1	0
0.023	7.000	1150	707.403	686.977	1015.88	809.001	0.995085	0.00491541	0.810623	0.1893	7.62079e-05	1	0
