time	pCa	hs_length	force	passive_force	a_fil_length	m_fil_length	a_pop_0	a_pop_1	m_pop_0	m_pop_1	m_pop_2	c_pop_0	c_pop_1
0.001	5.400	1150	686.977	686.977	1015.88	809.001	0.886717	0.113283	0.991389	0.00861149	0	1	0
0.002	5.400	1150	686.977	686.977	1015.88	809.001	0.715821	0.284179	0.982434	0.0175659	0	1	0
0.003	5.400	1150	719.543	686.977	1015.88	809.001	0.545153	0.454847	0.971879	0.0280064	0.000114312	1	0
0.004	5.400	1150	771.383	686.975	1015.88	809.001	0.40455	0.59545	0.961972	0.0377229	0.000304832	1	0
0.005	5.400	1150	839.216	686.973	1015.88	809.001	0.298583	0.701417	0.952484	0.0469822	0.000533455	1	0
0.006	5.400	1150	897.408	686.972	1015.88	809.001	0.243141	0.756859	0.943111	0.0561652	0.000723975	1	0
0.007	5.400	1150	1031.9	686.969	1015.88	809.002	0.202103	0.797897	0.933661	0.0651959	0.00114312	1	0
0.008	5.400	1150	1188.55	686.965	1015.88	809.002	0.182213	0.817787	0.924059	0.0742646	0.00167657	1	0
0.009	5.400	1150	1251.31	686.963	1015.88	809.002	0.162437	0.837563	0.916057	0.0820378	0.0019052	1	0
0.01	5.400	1150	1358.22	686.96	1015.88	809.002	0.145976	0.854024	0.907522	0.090192	0.00228624	1	0
0.011	5.400	1150	1438.93	686.958	1015.88	809.002	0.143576	0.856424	0.898948	0.0984987	0.00255296	1	0
0.012	5.400	1150	1591.21	686.954	1015.88	809.002	0.140032	0.859968	0.890832	0.106005	0.00316263	1	0
0.013	5.400	1150	1809.22	686.949	1015.88	809.003	0.129744	0.870256	0.882602	0.113435	0.00396281	1	0
0.014	5.400	1150	1930.86	686.946	1015.88	809.003	0.128372	0.871628	0.874028	0.121552	0.00442006	1	0
0.015	5.400	1150	2168.95	686.94	1015.88	809.003	0.125171	0.874829	0.866293	0.128448	0.00525834	1	0
0.016	5.400	1150	2392.64	686.934	1015.88	809.003	0.122428	0.877572	0.85772	0.136222	0.00605853	1	0
0.017	5.400	1150	2741.21	686.925	1015.88	809.004	0.120942	0.879058	0.850785	0.141975	0.00723975	1	0
0.018	5.400	1150	3013.91	686.918	1015.88	809.004	0.121056	0.878944	0.843507	0.148262	0.00823045	1	0
0.019	5.400	1150	3163.61	686.915	1015.88	809.004	0.119227	0.880773	0.834896	0.15634	0.00876391	1	0
0.02	5.400	1150	3349.41	686.91	1015.88	809.004	0.118427	0.881573	0.826932	0.163618	0.00944978	1	0
0.021	5.400	1150	3528.97	686.906	1015.88	809.004	0.117856	0.882144	0.819997	0.169906	0.0100975	1	0
0.022	5.400	1150	3695.27	686.902	1015.88	809.005	0.117284	0.882716	0.813214	0.176078	0.0107072	1	0
0.023	5.400	1150	3994.75	686.893	1015.88	809.005	0.116598	0.883402	0.805708	0.182556	0.011736	1	0
0.024	5.400	1150	4337.03	686.884	1015.88	809.005	0.115226	0.884774	0.797782	0.1893	0.0129172	1	0
0.025	5.400	1150	4735.51	686.874	1015.89	809.006	0.115798	0.884202	0.790123	0.195588	0.014289	1	0
0.026	5.400	1150	4994.41	686.868	1015.89	809.006	0.113054	0.886946	0.781702	0.203132	0.0151654	1	0
0.027	5.400	1150	5323.64	686.86	1015.89	809.007	0.11454	0.88546	0.77492	0.20881	0.0162704	1	0
0.028	5.400	1150	5512.58	686.854	1015.89	809.007	0.114769	0.885231	0.768595	0.214487	0.0169182	1	0
0.029	5.400	1150	5771.84	686.847	1015.89	809.007	0.110082	0.889918	0.762917	0.21925	0.0178326	1	0
0.03	5.400	1150	6033.89	686.841	1015.89	809.008	0.109053	0.890947	0.757583	0.223784	0.0186328	1	0
0.031	5.400	1150	6242.23	686.836	1015.89	809.008	0.108025	0.891975	0.749886	0.230719	0.0193949	1	0
0.032	5.400	1150	6439.96	686.831	1015.89	809.008	0.109053	0.890947	0.742455	0.237464	0.0200808	1	0
0.033	5.400	1150	6905.04	686.819	1015.89	809.008	0.104138	0.895862	0.736702	0.241617	0.0216811	1	0
0.034	5.400	1150	7309.52	686.809	1015.89	809.009	0.105396	0.894604	0.730376	0.246418	0.0232053	1	0
0.035	5.400	1150	7616.61	686.801	1015.89	809.009	0.106424	0.893576	0.723975	0.251791	0.0242341	1	0
0.036	5.400	1150	7876.1	686.795	1015.89	809.01	0.100823	0.899177	0.717688	0.257164	0.0251486	1	0
0.037	5.400	1150	8251.69	686.785	1015.89	809.01	0.102423	0.897577	0.711439	0.262155	0.026406	1	0
0.038	5.400	1150	8379.36	686.782	1015.9	809.01	0.102538	0.897462	0.704275	0.268823	0.0269014	1	0
0.039	5.400	1150	8747.02	686.773	1015.9	809.011	0.104938	0.895062	0.698217	0.273548	0.028235	1	0
0.04	5.400	1150	9095.12	686.765	1015.9	809.011	0.102766	0.897234	0.692615	0.277854	0.0295306	1	0
0.041	5.400	1150	9433.43	686.757	1015.9	809.011	0.102423	0.897577	0.687548	0.281817	0.0306356	1	0
0.042	5.400	1150	9699.15	686.752	1015.9	809.011	0.102309	0.897691	0.681222	0.287189	0.0315882	1	0
0.043	5.400	1150	9935.6	686.746	1015.9	809.012	0.104024	0.895976	0.676536	0.291038	0.0324265	1	0
0.044	5.400	1150	10254.4	686.739	1015.9	809.012	0.103567	0.896433	0.670858	0.29561	0.0335315	1	0
0.045	5.400	1150	10635.9	686.729	1015.9	809.012	0.104481	0.895519	0.665943	0.299192	0.0348651	1	0
0.046	5.400	1150	10945.6	686.721	1015.9	809.013	0.0997942	0.900206	0.661142	0.302888	0.0359701	1	0
0.047	5.400	1150	11105.6	686.717	1015.9	809.013	0.0969364	0.903064	0.656988	0.306318	0.0366941	1	0
0.048	5.400	1150	11395	686.709	1015.9	809.013	0.0949931	0.905007	0.651463	0.3107	0.0378372	1	0
0.049	5.400	1150	11675.5	686.703	1015.9	809.014	0.105853	0.894147	0.645748	0.315424	0.0388279	1	0
